"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10","rule.data.num.11"
"1",1,6,8,12,15,17,20,24,27,29,33
"2",1,6,8,11,14,17,21,23,27,29,33
"3",1,6,7,11,13,17,20,23,26,29,32
"4",1,6,8,11,14,18,21,24,27,29,33
"5",1,6,8,11,14,18,20,23,27,29,32
"6",1,6,8,11,15,17,21,23,26,30,33
"7",1,6,8,11,15,17,20,24,27,30,33
"8",1,6,8,11,13,17,20,23,27,30,32
"9",1,6,8,11,13,16,20,23,26,29,32
"10",1,6,8,11,14,17,20,24,27,30,33
"11",1,6,8,11,13,18,20,23,26,29,32
"12",1,6,8,11,14,17,21,24,27,30,33
"13",1,6,8,11,14,17,20,23,26,29,32
"14",1,6,8,11,14,17,20,23,27,29,33
"15",1,6,8,11,14,17,21,23,27,29,32
"16",1,6,8,11,13,18,20,23,27,29,32
"17",1,6,8,11,14,17,20,24,27,30,32
"18",1,6,8,11,13,17,20,24,27,29,33
"19",1,6,8,11,14,17,21,24,27,29,33
"20",1,6,8,11,15,17,21,24,27,30,33
"21",1,6,7,12,14,17,21,23,27,29,33
"22",1,6,8,11,13,16,20,24,26,30,33
"23",1,6,8,11,14,17,21,24,27,29,32
"24",1,6,8,11,13,17,20,23,27,29,32
"25",1,6,8,11,15,17,20,23,26,29,32
"26",1,6,8,11,13,17,20,23,27,30,33
"27",1,6,7,11,15,18,20,23,26,29,32
"28",1,6,8,11,14,17,20,24,27,29,32
"29",1,6,7,11,13,18,21,24,27,29,33
"30",1,6,7,11,13,17,21,23,27,29,32
"31",1,6,8,11,14,18,20,24,27,29,33
"32",1,6,7,11,14,17,20,24,27,29,33
"33",1,6,8,11,15,17,20,23,26,30,32
"34",1,6,8,11,15,17,21,24,27,29,33
"35",1,6,7,11,13,17,21,23,27,30,33
"36",1,6,8,11,13,17,21,23,26,29,32
"37",1,6,8,12,15,17,20,23,27,29,33
"38",1,6,7,11,13,18,20,23,27,29,33
"39",1,6,7,11,14,17,20,23,27,29,32
"40",1,6,8,11,15,17,21,23,27,29,32
"41",1,6,8,11,15,17,20,23,27,29,32
"42",1,6,8,11,13,17,20,24,27,29,32
"43",1,6,8,12,14,16,21,24,27,29,33
"44",1,6,8,11,14,18,21,23,27,29,32
"45",1,6,8,12,15,17,21,24,26,30,33
"46",1,6,7,11,14,17,21,24,27,29,32
"47",1,6,7,12,15,17,21,24,27,30,33
"48",1,6,8,11,13,17,21,23,27,30,33
"49",1,6,8,11,13,17,20,23,26,29,32
"50",1,6,8,11,14,17,21,23,26,29,32
"51",1,6,8,11,14,17,20,23,27,29,32
"52",1,6,8,11,13,17,21,24,27,29,33
"53",1,6,8,11,14,18,20,23,26,29,32
"54",1,6,8,12,14,17,20,23,27,29,32
"55",1,6,7,11,13,18,21,23,27,29,33
"56",1,6,7,11,14,17,20,23,26,29,32
"57",1,6,7,11,13,17,20,23,27,29,33
"58",1,6,8,11,15,18,20,23,26,29,32
"59",1,6,7,11,15,17,21,24,27,29,33
"60",1,6,7,12,14,17,21,24,27,29,33
"61",1,6,8,11,13,17,20,23,27,29,33
"62",1,6,7,11,14,18,20,24,26,29,32
"63",1,6,8,11,15,17,20,24,27,29,32
"64",1,6,8,12,13,17,20,23,26,29,32
"65",1,6,7,11,14,18,20,23,27,29,32
"66",1,6,8,11,15,17,20,23,27,29,33
"67",1,6,7,12,13,16,20,23,27,29,32
"68",1,6,8,11,15,17,21,24,27,30,32
"69",1,6,8,11,13,18,20,24,27,29,33
"70",1,6,7,11,13,17,20,24,26,29,33
"71",1,6,8,11,13,18,21,24,27,29,33
"72",1,6,7,12,13,17,21,23,27,29,33
"73",1,6,7,11,13,16,20,23,26,29,32
"74",1,6,7,12,14,16,20,23,27,29,33
"75",1,6,8,11,15,17,21,23,27,30,32
"76",1,6,8,12,14,16,20,24,26,29,32
"77",1,6,7,11,14,17,20,23,26,29,33
"78",1,6,8,12,14,17,21,24,27,29,33
"79",1,6,8,11,14,16,20,23,26,29,33
"80",1,6,7,11,14,17,21,24,26,30,33
"81",1,6,8,11,15,17,21,23,27,30,33
"82",1,6,8,11,13,18,21,24,27,29,32
"83",1,6,8,11,13,18,21,24,27,30,32
"84",1,6,8,11,14,17,21,23,27,30,33
"85",1,6,7,11,15,17,21,24,27,30,32
"86",1,6,7,11,13,18,20,23,26,29,32
"87",1,6,7,12,14,17,20,23,27,29,32
"88",1,6,8,11,13,17,21,24,27,30,33
"89",1,6,7,11,13,17,20,23,27,29,32
"90",1,6,8,11,14,18,21,23,27,29,33
"91",1,6,7,12,14,17,20,24,27,29,32
"92",1,6,8,12,14,17,20,23,26,29,32
"93",1,6,7,11,13,17,21,24,27,29,33
"94",1,6,8,11,15,17,20,23,27,30,32
"95",1,6,8,11,14,17,21,24,27,30,32
"96",1,6,8,12,13,17,21,24,27,29,32
"97",1,6,7,12,14,17,20,23,26,29,32
"98",1,6,7,11,14,18,20,23,26,29,32
"99",1,6,7,11,13,17,21,24,27,30,32
"100",1,6,8,11,14,16,20,23,26,29,32
"101",1,6,8,11,13,18,21,23,27,29,33
"102",1,6,8,11,13,17,20,23,26,30,32
"103",1,6,7,11,14,16,21,24,27,29,32
"104",1,6,7,11,15,17,20,23,26,29,32
"105",1,6,8,12,15,17,21,24,27,29,32
"106",1,6,8,12,14,17,21,23,27,30,32
"107",1,6,8,12,13,17,21,23,27,29,32
"108",1,6,7,11,13,17,21,23,26,29,32
"109",1,6,8,12,14,17,21,23,27,29,32
"110",1,6,7,11,14,17,21,23,27,29,32
"111",1,6,8,12,14,17,21,24,27,30,33
"112",1,6,8,11,14,18,21,24,27,30,33
"113",1,6,8,12,15,17,20,24,27,29,32
"114",1,6,8,11,15,17,20,23,26,29,33
"115",1,6,7,11,14,16,20,23,26,29,32
"116",1,6,8,11,15,17,20,24,26,29,32
"117",1,6,8,11,14,18,20,24,27,29,32
"118",1,6,7,11,15,17,21,23,27,29,32
"119",1,6,7,11,13,17,20,24,27,29,33
"120",1,6,8,11,15,17,21,23,26,29,33
"121",1,6,7,11,14,17,21,24,27,30,33
"122",1,6,8,11,15,16,21,24,27,29,33
"123",1,6,8,11,14,17,20,23,26,29,33
"124",1,6,8,12,14,18,20,23,26,29,32
"125",1,6,7,11,13,18,20,23,27,29,32
"126",1,6,7,11,14,17,21,24,27,29,33
"127",1,6,7,11,13,16,20,23,27,29,33
"128",1,6,8,12,14,16,20,23,27,29,32
"129",1,6,8,11,13,17,21,23,27,29,32
"130",1,6,8,12,14,17,20,24,27,29,32
"131",1,6,8,11,13,17,21,24,27,30,32
"132",1,6,7,11,13,17,20,23,26,29,33
"133",1,6,7,11,13,16,21,23,27,29,33
"134",1,6,8,12,15,17,21,24,27,30,33
"135",1,6,7,11,14,16,20,23,26,29,33
"136",1,6,8,11,15,17,21,23,27,29,33
"137",1,6,8,11,14,17,20,24,27,29,33
"138",1,6,8,12,13,17,20,23,27,29,32
"139",1,6,7,11,14,17,21,24,27,30,32
"140",1,6,7,11,14,17,20,23,27,29,33
"141",1,6,8,11,14,17,21,23,26,29,33
"142",1,6,8,11,14,18,20,23,27,30,32
"143",1,6,8,11,15,18,20,23,27,30,32
"144",1,6,7,11,14,17,21,23,27,30,33
"145",1,6,8,11,13,17,21,23,26,29,33
"146",1,6,8,11,14,18,21,24,26,29,32
"147",1,6,7,11,15,18,20,23,27,29,33
"148",1,6,8,12,14,17,21,24,27,30,32
"149",1,6,8,11,14,17,21,23,27,30,32
"150",1,6,8,11,14,18,20,23,27,30,33
"151",1,6,8,11,13,16,21,23,27,30,33
"152",1,6,8,12,14,17,20,23,27,29,33
"153",1,6,8,11,15,17,21,24,27,29,32
"154",1,6,8,11,14,17,21,24,26,29,32
"155",1,6,8,11,14,16,21,24,27,29,32
"156",1,6,7,11,13,17,20,24,27,29,32
"157",1,6,8,11,13,18,20,23,26,29,33
"158",1,6,7,11,14,17,21,23,26,29,32
"159",1,6,8,11,13,17,21,24,26,29,32
"160",1,6,8,11,13,17,20,23,26,29,33
"161",1,6,8,11,13,18,21,23,26,29,32
"162",1,6,9,11,13,18,20,23,27,29,32
"163",1,6,8,11,14,17,20,23,27,30,33
"164",1,6,8,11,13,16,21,24,27,29,32
"165",1,6,8,11,15,17,20,24,27,30,32
"166",1,6,8,11,14,17,20,24,26,29,32
"167",1,6,8,11,14,17,21,23,26,30,32
"168",1,6,8,11,13,18,20,24,27,29,32
"169",1,6,7,11,14,18,21,24,27,29,32
"170",1,6,8,11,14,17,20,23,26,30,32
"171",1,6,7,11,14,18,20,24,27,30,33
"172",1,6,7,11,15,17,21,24,27,29,32
"173",1,6,8,11,13,17,21,24,27,29,32
"174",1,6,8,11,13,18,21,23,26,29,33
"175",1,6,7,11,13,17,21,24,27,29,32
"176",1,6,8,11,15,17,21,23,26,30,32
"177",1,6,7,11,13,17,20,24,27,30,33
"178",1,6,8,11,14,18,21,24,27,30,32
"179",1,6,7,11,13,18,21,23,26,29,32
"180",1,6,8,11,15,17,20,24,27,29,33
"181",1,6,7,11,14,18,21,23,27,29,32
"182",1,6,7,11,13,16,21,23,26,29,32
"183",1,6,8,11,14,17,20,24,26,30,32
"184",1,6,8,11,13,17,21,24,26,29,33
"185",1,6,8,11,13,17,21,23,27,29,33
"186",1,6,7,11,13,17,21,24,27,30,33
"187",1,6,7,11,14,18,20,23,27,30,32
"188",1,6,8,11,13,17,21,23,27,30,32
"189",2,6,7,11,13,18,20,23,26,29,32
"190",1,6,8,11,14,17,21,24,26,29,33
"191",1,6,8,11,13,16,20,23,27,29,32
"192",1,6,8,11,15,18,21,24,27,30,33
"193",1,6,7,11,13,18,21,23,27,29,32
"194",1,6,7,11,15,17,20,23,27,29,33
"195",1,6,9,11,13,17,20,23,26,29,32
"196",1,6,8,11,13,18,21,24,27,30,33
"197",1,6,7,11,13,18,21,24,27,30,33
"198",1,6,8,11,13,16,20,23,26,29,33
"199",1,6,8,11,13,17,21,24,26,30,32
"200",1,6,8,11,14,18,20,23,26,29,33
"201",1,6,8,11,15,18,20,23,27,29,32
"202",1,6,7,11,14,17,21,23,27,29,33
"203",1,6,7,11,14,17,20,23,27,30,32
"204",1,6,7,11,15,17,21,23,26,30,32
"205",1,6,8,11,15,16,21,24,27,29,32
"206",1,6,8,11,14,18,21,24,27,29,32
"207",1,6,8,11,14,17,20,23,26,30,33
"208",1,6,8,11,13,17,20,24,26,29,32
"209",1,6,8,11,15,18,21,23,27,30,33
"210",1,6,7,11,14,17,20,24,27,29,32
"211",1,6,7,11,14,17,20,24,27,30,33
"212",1,6,8,11,14,17,20,23,27,30,32
"213",1,6,8,11,14,16,21,23,27,30,32
"214",1,6,8,11,14,18,20,23,27,29,33
"215",1,6,8,11,14,18,21,24,26,30,32
"216",1,6,8,11,15,16,21,24,27,30,32
"217",1,6,7,11,15,17,20,24,27,29,33
"218",1,6,7,11,13,17,21,23,27,29,33
"219",1,6,7,11,13,18,20,24,27,29,32
"220",1,6,8,11,14,16,21,24,27,29,33
"221",1,6,7,11,14,18,21,24,27,30,33
"222",1,6,7,11,13,18,20,23,26,29,33
"223",1,6,8,11,14,16,20,23,27,29,32
"224",1,6,8,11,15,16,20,23,26,29,32
"225",1,6,7,11,15,17,20,23,27,29,32
"226",1,6,8,11,13,16,21,23,27,29,32
"227",1,6,8,11,15,16,21,23,26,29,32
"228",1,6,7,11,14,16,20,23,27,29,32
"229",1,6,8,11,13,16,20,23,27,29,33
"230",1,6,7,11,14,18,21,23,27,30,32
"231",1,6,8,11,13,18,20,23,27,29,33
"232",1,6,8,11,13,17,20,24,27,30,32
"233",1,6,7,11,14,18,20,24,27,29,32
"234",1,6,8,11,14,16,21,23,26,29,32
"235",1,6,7,11,15,17,21,24,27,30,33
"236",1,6,7,11,13,18,21,24,27,30,32
"237",1,6,8,11,13,18,21,23,27,29,32
"238",1,6,7,11,13,16,20,24,27,29,32
"239",1,6,8,11,14,16,20,24,27,29,32
"240",1,6,8,11,13,18,21,24,26,29,32
"241",1,6,9,11,15,17,21,24,27,30,33
"242",1,6,7,11,14,16,21,24,26,29,32
"243",1,6,7,11,13,16,20,23,27,29,32
"244",1,6,9,11,14,17,20,23,26,29,32
"245",1,6,7,11,13,18,21,24,27,29,32
"246",1,6,7,11,13,16,21,23,27,29,32
"247",1,6,8,11,14,16,21,23,27,29,33
"248",1,6,7,11,14,17,21,23,26,30,33
"249",1,6,8,11,13,16,21,24,27,29,33
"250",1,6,7,11,13,17,20,23,26,30,33
"251",1,6,7,11,14,18,20,23,26,29,33
"252",1,6,7,11,15,16,21,23,27,29,32
"253",1,6,7,11,14,17,21,23,26,29,33
"254",1,6,7,11,14,17,20,24,26,29,32
"255",1,6,8,11,13,16,21,23,26,29,32
"256",1,6,8,11,14,18,21,23,27,30,32
"257",1,6,7,11,13,18,20,24,27,29,33
"258",1,6,7,11,15,16,20,23,27,29,32
"259",1,6,7,11,14,17,21,23,27,30,32
"260",1,6,7,11,15,17,20,24,27,30,32
"261",1,6,8,11,15,16,20,23,27,29,33
"262",1,6,8,11,13,18,20,23,27,30,32
"263",1,6,7,11,14,18,21,23,26,29,32
"264",1,6,8,11,14,16,20,23,26,29,31
"265",1,6,7,11,13,17,20,23,26,30,32
"266",1,6,8,11,14,16,21,23,27,29,32
"267",1,6,8,11,14,16,21,24,27,30,32
"268",1,6,7,11,13,17,20,23,27,30,32
"269",1,6,8,11,14,18,21,23,26,30,33
"270",1,6,7,11,14,17,20,24,26,30,32
"271",1,6,8,11,13,17,21,23,26,30,33
"272",1,6,9,11,13,18,20,23,26,29,32
"273",1,6,8,11,15,17,21,24,26,29,32
"274",1,6,8,11,14,18,21,23,27,30,33
"275",1,6,7,11,15,17,20,24,26,29,32
"276",1,6,7,11,13,18,20,24,26,29,32
"277",1,6,7,11,15,17,21,23,27,29,33
"278",1,6,7,11,14,18,21,24,26,29,33
"279",1,6,8,11,15,17,21,23,26,29,32
"280",1,6,7,11,14,18,20,23,26,30,32
"281",1,6,8,11,14,18,20,24,26,29,33
"282",1,6,7,11,15,17,21,23,26,29,32
"283",1,6,8,11,15,17,21,24,26,30,32
"284",1,6,8,11,13,17,20,24,26,29,33
"285",1,6,8,11,14,17,21,23,26,30,33
"286",1,6,9,11,13,18,20,24,27,29,32
"287",2,6,7,11,13,16,20,23,26,29,32
"288",2,6,8,11,13,17,20,23,26,29,32
"289",1,6,8,11,14,18,21,23,26,29,32
"290",1,6,8,11,13,18,20,23,26,29,31
"291",1,6,7,11,15,17,21,23,27,30,33
"292",1,6,8,11,14,17,21,24,26,30,32
"293",1,6,8,11,15,16,20,23,27,29,32
"294",3,6,8,11,13,17,20,23,26,29,32
"295",1,6,8,11,14,16,21,23,27,30,33
"296",1,6,8,11,15,17,20,24,26,30,33
"297",1,6,7,11,13,18,20,23,27,30,33
"298",1,6,8,11,14,18,21,24,26,29,33
